epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.4051,1.08938,5.19248,1.03448,0.7955,0.96649,0.88686,0.62826,1.02263,1.24638,0.97856,0.000332326,0.000332326,0.000332326
2,103.819,1.04705,3.18251,1.02873,0.91054,0.97133,0.98538,0.71973,0.98016,0.83811,1.05362,0.00065907,0.00065907,0.00065907
3,184.724,1.04188,2.35541,1.07137,0.984,0.97891,0.99348,0.72756,0.97291,0.65157,1.08294,0.000979213,0.000979213,0.000979213
4,255.163,1.01787,1.58148,1.06712,0.98376,0.98002,0.99449,0.73717,0.9566,0.55323,1.06909,0.0009703,0.0009703,0.0009703
5,328.811,1.00517,1.11348,1.07845,0.99,0.99305,0.9943,0.74296,0.96346,0.51173,1.07548,0.0009604,0.0009604,0.0009604
6,416.907,1.00213,0.91788,1.06657,0.99327,0.99413,0.99497,0.75581,0.93444,0.48043,1.05937,0.0009505,0.0009505,0.0009505
7,512.899,0.95933,0.74965,1.04915,0.99622,0.99586,0.99497,0.75916,0.9255,0.45192,1.05336,0.0009406,0.0009406,0.0009406
8,610.35,0.98027,0.66957,1.0567,0.99498,0.99817,0.995,0.75383,0.93687,0.44753,1.06075,0.0009307,0.0009307,0.0009307
9,708.205,0.94336,0.63919,1.04728,0.99708,0.99677,0.995,0.76455,0.91847,0.45459,1.04881,0.0009208,0.0009208,0.0009208
10,807.445,0.95437,0.5905,1.04964,0.99595,0.99176,0.995,0.7554,0.93701,0.44362,1.05455,0.0009109,0.0009109,0.0009109
11,908.451,0.96269,0.57027,1.05018,0.99321,0.99879,0.995,0.7448,0.97651,0.4486,1.0786,0.000901,0.000901,0.000901
12,1006.41,0.93474,0.51998,1.03041,0.99782,0.99305,0.995,0.76695,0.91931,0.39243,1.04971,0.0008911,0.0008911,0.0008911
13,1105.16,0.93364,0.50055,1.03507,0.99566,0.99334,0.99488,0.76748,0.92705,0.40965,1.05169,0.0008812,0.0008812,0.0008812
14,1195.98,0.95119,0.49174,1.04386,0.99799,0.99942,0.995,0.77341,0.93199,0.38864,1.05275,0.0008713,0.0008713,0.0008713
15,1273.24,0.91923,0.47591,1.03655,0.98818,1,0.99497,0.76406,0.92311,0.39022,1.05901,0.0008614,0.0008614,0.0008614
16,1353.35,0.92772,0.46336,1.03845,0.99825,0.99873,0.995,0.7685,0.93921,0.38244,1.06234,0.0008515,0.0008515,0.0008515
17,1427.51,0.93456,0.46646,1.04159,0.99797,1,0.995,0.7692,0.90573,0.36803,1.04753,0.0008416,0.0008416,0.0008416
18,1499.83,0.92675,0.44343,1.03281,0.99745,0.9999,0.995,0.77783,0.90867,0.36616,1.04239,0.0008317,0.0008317,0.0008317
19,1580.78,0.90786,0.44229,1.02017,0.99271,0.99734,0.99497,0.77657,0.91497,0.38105,1.04843,0.0008218,0.0008218,0.0008218
20,1656.02,0.91231,0.44069,1.02812,0.99621,1,0.995,0.76565,0.92368,0.37768,1.0443,0.0008119,0.0008119,0.0008119
21,1733.75,0.90755,0.43171,1.02299,0.99443,0.99737,0.995,0.77643,0.90669,0.3678,1.04758,0.000802,0.000802,0.000802
22,1810.39,0.90149,0.42628,1.01325,0.99801,0.99818,0.995,0.76743,0.93459,0.36861,1.05884,0.0007921,0.0007921,0.0007921
23,1886.5,0.89357,0.41945,1.00543,0.99833,1,0.995,0.76991,0.93862,0.37431,1.06019,0.0007822,0.0007822,0.0007822
24,1962.42,0.91141,0.41937,1.03614,0.99798,0.99815,0.995,0.77014,0.92446,0.35951,1.0482,0.0007723,0.0007723,0.0007723
25,2038.57,0.90911,0.41487,1.02608,0.99635,1,0.995,0.77645,0.9128,0.35476,1.04039,0.0007624,0.0007624,0.0007624
26,2114.66,0.89541,0.41216,1.01468,0.99844,1,0.995,0.77242,0.92566,0.34646,1.05018,0.0007525,0.0007525,0.0007525
27,2190.02,0.89974,0.407,1.01091,0.99727,1,0.995,0.7767,0.89231,0.34698,1.04484,0.0007426,0.0007426,0.0007426
28,2265.34,0.88799,0.4054,1.01225,0.99661,1,0.995,0.78311,0.90113,0.34776,1.03697,0.0007327,0.0007327,0.0007327
29,2340.2,0.89703,0.40048,1.02663,0.9979,0.99728,0.995,0.78134,0.90017,0.35084,1.03847,0.0007228,0.0007228,0.0007228
30,2422.43,0.87727,0.39983,1.01357,0.99827,0.99802,0.995,0.77422,0.91862,0.34905,1.04744,0.0007129,0.0007129,0.0007129
31,2497.48,0.88507,0.40043,1.00845,0.99648,0.99879,0.995,0.77685,0.90188,0.34589,1.03636,0.000703,0.000703,0.000703
32,2577.65,0.88088,0.3937,1.02186,0.99766,0.99571,0.995,0.78315,0.90493,0.34201,1.04164,0.0006931,0.0006931,0.0006931
33,2667.46,0.86149,0.38408,1.0093,0.9979,0.99803,0.995,0.77713,0.9091,0.34265,1.04598,0.0006832,0.0006832,0.0006832
34,2745.72,0.87081,0.39102,1.01211,0.9964,1,0.995,0.76619,0.94981,0.34787,1.05916,0.0006733,0.0006733,0.0006733
35,2820.41,0.88682,0.38699,1.01155,0.99778,1,0.995,0.78064,0.89501,0.33299,1.03583,0.0006634,0.0006634,0.0006634
36,2894.02,0.84314,0.37544,0.99964,0.99564,0.99996,0.995,0.77491,0.91295,0.34718,1.04663,0.0006535,0.0006535,0.0006535
37,2968.34,0.86121,0.37361,1.00598,0.99416,1,0.995,0.78443,0.90864,0.33274,1.04124,0.0006436,0.0006436,0.0006436
38,3043.66,0.86045,0.36805,1.00237,0.99776,0.99978,0.995,0.78083,0.90765,0.33553,1.04738,0.0006337,0.0006337,0.0006337
39,3121.55,0.85207,0.37345,0.99432,0.99593,1,0.995,0.78259,0.90842,0.33351,1.04385,0.0006238,0.0006238,0.0006238
40,3208.8,0.85879,0.3758,0.99967,0.99826,0.99926,0.995,0.77798,0.91263,0.33349,1.04033,0.0006139,0.0006139,0.0006139
41,3308.31,0.85488,0.37644,0.99746,0.99768,0.99905,0.995,0.78548,0.88934,0.32608,1.03672,0.000604,0.000604,0.000604
42,3404.98,0.84385,0.36318,0.992,0.99767,0.99867,0.995,0.77981,0.91736,0.33284,1.04606,0.0005941,0.0005941,0.0005941
43,3491.19,0.84881,0.37015,0.99074,0.99772,1,0.995,0.7844,0.89458,0.3304,1.03775,0.0005842,0.0005842,0.0005842
44,3579.15,0.8479,0.36901,0.99724,0.99567,1,0.995,0.7683,0.92374,0.32949,1.05725,0.0005743,0.0005743,0.0005743
45,3674.3,0.83572,0.37142,1.0061,0.99418,0.99703,0.995,0.77928,0.90753,0.33778,1.04455,0.0005644,0.0005644,0.0005644
46,3771.44,0.83425,0.35598,0.98615,0.99739,1,0.995,0.77489,0.89022,0.32933,1.03425,0.0005545,0.0005545,0.0005545
47,3871.93,0.83122,0.36012,0.98874,0.99711,1,0.995,0.77519,0.90754,0.32527,1.04918,0.0005446,0.0005446,0.0005446
48,3965.54,0.83587,0.35849,0.9921,0.99483,0.99809,0.995,0.78302,0.90505,0.32543,1.04045,0.0005347,0.0005347,0.0005347
49,4057.33,0.82486,0.35182,0.98933,0.99842,0.99825,0.995,0.78183,0.91683,0.3249,1.04465,0.0005248,0.0005248,0.0005248
50,4165.68,0.83454,0.34974,0.99257,0.99634,1,0.995,0.78017,0.90894,0.32611,1.04604,0.0005149,0.0005149,0.0005149
51,4280.39,0.81365,0.34969,0.98641,0.9982,1,0.995,0.78037,0.89946,0.31577,1.04289,0.000505,0.000505,0.000505
52,4380.62,0.82348,0.34907,0.99071,0.99788,0.99862,0.995,0.7754,0.91519,0.3169,1.04697,0.0004951,0.0004951,0.0004951
53,4478.78,0.83698,0.35294,0.99292,0.99793,1,0.995,0.78114,0.91474,0.31393,1.04698,0.0004852,0.0004852,0.0004852
54,4583.91,0.809,0.34366,0.98383,0.99603,0.99922,0.995,0.7716,0.93363,0.32507,1.05829,0.0004753,0.0004753,0.0004753
55,4718.64,0.82569,0.34482,0.98832,0.99785,0.99872,0.995,0.77218,0.92633,0.32673,1.05617,0.0004654,0.0004654,0.0004654
56,4843.74,0.81235,0.34262,0.98412,0.99809,1,0.995,0.78322,0.90182,0.32009,1.03794,0.0004555,0.0004555,0.0004555
57,4955.81,0.81416,0.34573,0.98721,0.99787,1,0.995,0.77762,0.92902,0.32595,1.05515,0.0004456,0.0004456,0.0004456
58,5082.48,0.79591,0.3369,0.97708,0.99807,1,0.995,0.7769,0.91666,0.31986,1.04761,0.0004357,0.0004357,0.0004357
59,5196.17,0.81591,0.34855,0.98532,0.99811,1,0.995,0.76065,0.91405,0.31813,1.04699,0.0004258,0.0004258,0.0004258
60,5295.06,0.80384,0.34119,0.97994,0.99786,1,0.995,0.76603,0.90515,0.31798,1.04587,0.0004159,0.0004159,0.0004159
61,5391.61,0.80182,0.33732,0.97941,0.99699,1,0.995,0.7766,0.91815,0.32121,1.04507,0.000406,0.000406,0.000406
